♦3, ♣2, ♦2, ♣6, ♥8 | pair
♦3, ♣2, ♦2, ♣6, ♠A | pair
♦3, ♣2, ♦2, ♣6, ♥3 | two pairs
♦3, ♣2, ♦2, ♣6, ♠J | pair
♦3, ♣2, ♦2, ♣6, ♦A | pair
♦3, ♣2, ♦2, ♥8, ♠A | pair
♦3, ♣2, ♦2, ♥8, ♥3 | two pairs
♦3, ♣2, ♦2, ♥8, ♠J | pair
♦3, ♣2, ♦2, ♥8, ♦A | pair
♦3, ♣2, ♦2, ♠A, ♥3 | two pairs
♦3, ♣2, ♦2, ♠A, ♠J | pair
♦3, ♣2, ♦2, ♠A, ♦A | two pairs
♦3, ♣2, ♦2, ♥3, ♠J | two pairs
♦3, ♣2, ♦2, ♥3, ♦A | two pairs
♦3, ♣2, ♦2, ♠J, ♦A | pair
♦3, ♣2, ♣6, ♥8, ♥3 | pair
♦3, ♣2, ♣6, ♠A, ♥3 | pair
♦3, ♣2, ♣6, ♠A, ♦A | pair
♦3, ♣2, ♣6, ♥3, ♠J | pair
♦3, ♣2, ♣6, ♥3, ♦A | pair
♦3, ♣2, ♥8, ♠A, ♥3 | pair
♦3, ♣2, ♥8, ♠A, ♦A | pair
♦3, ♣2, ♥8, ♥3, ♠J | pair
♦3, ♣2, ♥8, ♥3, ♦A | pair
♦3, ♣2, ♠A, ♥3, ♠J | pair
♦3, ♣2, ♠A, ♥3, ♦A | two pairs
♦3, ♣2, ♠A, ♠J, ♦A | pair
♦3, ♣2, ♥3, ♠J, ♦A | pair
♦3, ♦2, ♣6, ♥8, ♥3 | pair
♦3, ♦2, ♣6, ♠A, ♥3 | pair
♦3, ♦2, ♣6, ♠A, ♦A | pair
♦3, ♦2, ♣6, ♥3, ♠J | pair
♦3, ♦2, ♣6, ♥3, ♦A | pair
♦3, ♦2, ♥8, ♠A, ♥3 | pair
♦3, ♦2, ♥8, ♠A, ♦A | pair
♦3, ♦2, ♥8, ♥3, ♠J | pair
♦3, ♦2, ♥8, ♥3, ♦A | pair
♦3, ♦2, ♠A, ♥3, ♠J | pair
♦3, ♦2, ♠A, ♥3, ♦A | two pairs
♦3, ♦2, ♠A, ♠J, ♦A | pair
♦3, ♦2, ♥3, ♠J, ♦A | pair
♦3, ♣6, ♥8, ♠A, ♥3 | pair
♦3, ♣6, ♥8, ♠A, ♦A | pair
♦3, ♣6, ♥8, ♥3, ♠J | pair
♦3, ♣6, ♥8, ♥3, ♦A | pair
♦3, ♣6, ♠A, ♥3, ♠J | pair
♦3, ♣6, ♠A, ♥3, ♦A | two pairs
♦3, ♣6, ♠A, ♠J, ♦A | pair
♦3, ♣6, ♥3, ♠J, ♦A | pair
♦3, ♥8, ♠A, ♥3, ♠J | pair
♦3, ♥8, ♠A, ♥3, ♦A | two pairs
♦3, ♥8, ♠A, ♠J, ♦A | pair
♦3, ♥8, ♥3, ♠J, ♦A | pair
♦3, ♠A, ♥3, ♠J, ♦A | two pairs
♣2, ♦2, ♣6, ♥8, ♠A | pair
♣2, ♦2, ♣6, ♥8, ♥3 | pair
♣2, ♦2, ♣6, ♥8, ♠J | pair
♣2, ♦2, ♣6, ♥8, ♦A | pair
♣2, ♦2, ♣6, ♠A, ♥3 | pair
♣2, ♦2, ♣6, ♠A, ♠J | pair
♣2, ♦2, ♣6, ♠A, ♦A | two pairs
♣2, ♦2, ♣6, ♥3, ♠J | pair
♣2, ♦2, ♣6, ♥3, ♦A | pair
♣2, ♦2, ♣6, ♠J, ♦A | pair
♣2, ♦2, ♥8, ♠A, ♥3 | pair
♣2, ♦2, ♥8, ♠A, ♠J | pair
♣2, ♦2, ♥8, ♠A, ♦A | two pairs
♣2, ♦2, ♥8, ♥3, ♠J | pair
♣2, ♦2, ♥8, ♥3, ♦A | pair
♣2, ♦2, ♥8, ♠J, ♦A | pair
♣2, ♦2, ♠A, ♥3, ♠J | pair
♣2, ♦2, ♠A, ♥3, ♦A | two pairs
♣2, ♦2, ♠A, ♠J, ♦A | two pairs
♣2, ♦2, ♥3, ♠J, ♦A | pair
♣2, ♣6, ♥8, ♠A, ♦A | pair
♣2, ♣6, ♠A, ♥3, ♦A | pair
♣2, ♣6, ♠A, ♠J, ♦A | pair
♣2, ♥8, ♠A, ♥3, ♦A | pair
♣2, ♥8, ♠A, ♠J, ♦A | pair
♣2, ♠A, ♥3, ♠J, ♦A | pair
♦2, ♣6, ♥8, ♠A, ♦A | pair
♦2, ♣6, ♠A, ♥3, ♦A | pair
♦2, ♣6, ♠A, ♠J, ♦A | pair
♦2, ♥8, ♠A, ♥3, ♦A | pair
♦2, ♥8, ♠A, ♠J, ♦A | pair
♦2, ♠A, ♥3, ♠J, ♦A | pair
♣6, ♥8, ♠A, ♥3, ♦A | pair
♣6, ♥8, ♠A, ♠J, ♦A | pair
♣6, ♠A, ♥3, ♠J, ♦A | pair
♥8, ♠A, ♥3, ♠J, ♦A | pair
