♠Q, ♠2, ♥2, ♣K, ♣8 | pair
♠Q, ♠2, ♥2, ♣K, ♥A | pair
♠Q, ♠2, ♥2, ♣K, ♥K | two pairs
♠Q, ♠2, ♥2, ♣K, ♠6 | pair
♠Q, ♠2, ♥2, ♣K, ♦7 | pair
♠Q, ♠2, ♥2, ♣K, ♥5 | pair
♠Q, ♠2, ♥2, ♣K, ♣6 | pair
♠Q, ♠2, ♥2, ♣K, ♥7 | pair
♠Q, ♠2, ♥2, ♣8, ♥A | pair
♠Q, ♠2, ♥2, ♣8, ♥K | pair
♠Q, ♠2, ♥2, ♣8, ♠6 | pair
♠Q, ♠2, ♥2, ♣8, ♦7 | pair
♠Q, ♠2, ♥2, ♣8, ♥5 | pair
♠Q, ♠2, ♥2, ♣8, ♣6 | pair
♠Q, ♠2, ♥2, ♣8, ♥7 | pair
♠Q, ♠2, ♥2, ♥A, ♥K | pair
♠Q, ♠2, ♥2, ♥A, ♠6 | pair
♠Q, ♠2, ♥2, ♥A, ♦7 | pair
♠Q, ♠2, ♥2, ♥A, ♥5 | pair
♠Q, ♠2, ♥2, ♥A, ♣6 | pair
♠Q, ♠2, ♥2, ♥A, ♥7 | pair
♠Q, ♠2, ♥2, ♥K, ♠6 | pair
♠Q, ♠2, ♥2, ♥K, ♦7 | pair
♠Q, ♠2, ♥2, ♥K, ♥5 | pair
♠Q, ♠2, ♥2, ♥K, ♣6 | pair
♠Q, ♠2, ♥2, ♥K, ♥7 | pair
♠Q, ♠2, ♥2, ♠6, ♦7 | pair
♠Q, ♠2, ♥2, ♠6, ♥5 | pair
♠Q, ♠2, ♥2, ♠6, ♣6 | two pairs
♠Q, ♠2, ♥2, ♠6, ♥7 | pair
♠Q, ♠2, ♥2, ♦7, ♥5 | pair
♠Q, ♠2, ♥2, ♦7, ♣6 | pair
♠Q, ♠2, ♥2, ♦7, ♥7 | two pairs
♠Q, ♠2, ♥2, ♥5, ♣6 | pair
♠Q, ♠2, ♥2, ♥5, ♥7 | pair
♠Q, ♠2, ♥2, ♣6, ♥7 | pair
♠Q, ♠2, ♣K, ♣8, ♥K | pair
♠Q, ♠2, ♣K, ♥A, ♥K | pair
♠Q, ♠2, ♣K, ♥K, ♠6 | pair
♠Q, ♠2, ♣K, ♥K, ♦7 | pair
♠Q, ♠2, ♣K, ♥K, ♥5 | pair
♠Q, ♠2, ♣K, ♥K, ♣6 | pair
♠Q, ♠2, ♣K, ♥K, ♥7 | pair
♠Q, ♠2, ♣K, ♠6, ♣6 | pair
♠Q, ♠2, ♣K, ♦7, ♥7 | pair
♠Q, ♠2, ♣8, ♠6, ♣6 | pair
♠Q, ♠2, ♣8, ♦7, ♥7 | pair
♠Q, ♠2, ♥A, ♠6, ♣6 | pair
♠Q, ♠2, ♥A, ♦7, ♥7 | pair
♠Q, ♠2, ♥K, ♠6, ♣6 | pair
♠Q, ♠2, ♥K, ♦7, ♥7 | pair
♠Q, ♠2, ♠6, ♦7, ♣6 | pair
♠Q, ♠2, ♠6, ♦7, ♥7 | pair
♠Q, ♠2, ♠6, ♥5, ♣6 | pair
♠Q, ♠2, ♠6, ♣6, ♥7 | pair
♠Q, ♠2, ♦7, ♥5, ♥7 | pair
♠Q, ♠2, ♦7, ♣6, ♥7 | pair
♠Q, ♥2, ♣K, ♣8, ♥K | pair
♠Q, ♥2, ♣K, ♥A, ♥K | pair
♠Q, ♥2, ♣K, ♥K, ♠6 | pair
♠Q, ♥2, ♣K, ♥K, ♦7 | pair
♠Q, ♥2, ♣K, ♥K, ♥5 | pair
♠Q, ♥2, ♣K, ♥K, ♣6 | pair
♠Q, ♥2, ♣K, ♥K, ♥7 | pair
♠Q, ♥2, ♣K, ♠6, ♣6 | pair
♠Q, ♥2, ♣K, ♦7, ♥7 | pair
♠Q, ♥2, ♣8, ♠6, ♣6 | pair
♠Q, ♥2, ♣8, ♦7, ♥7 | pair
♠Q, ♥2, ♥A, ♠6, ♣6 | pair
♠Q, ♥2, ♥A, ♦7, ♥7 | pair
♠Q, ♥2, ♥K, ♠6, ♣6 | pair
♠Q, ♥2, ♥K, ♦7, ♥7 | pair
♠Q, ♥2, ♠6, ♦7, ♣6 | pair
♠Q, ♥2, ♠6, ♦7, ♥7 | pair
♠Q, ♥2, ♠6, ♥5, ♣6 | pair
♠Q, ♥2, ♠6, ♣6, ♥7 | pair
♠Q, ♥2, ♦7, ♥5, ♥7 | pair
♠Q, ♥2, ♦7, ♣6, ♥7 | pair
♠Q, ♣K, ♣8, ♥A, ♥K | pair
♠Q, ♣K, ♣8, ♥K, ♠6 | pair
♠Q, ♣K, ♣8, ♥K, ♦7 | pair
♠Q, ♣K, ♣8, ♥K, ♥5 | pair
♠Q, ♣K, ♣8, ♥K, ♣6 | pair
♠Q, ♣K, ♣8, ♥K, ♥7 | pair
♠Q, ♣K, ♣8, ♠6, ♣6 | pair
♠Q, ♣K, ♣8, ♦7, ♥7 | pair
♠Q, ♣K, ♥A, ♥K, ♠6 | pair
♠Q, ♣K, ♥A, ♥K, ♦7 | pair
♠Q, ♣K, ♥A, ♥K, ♥5 | pair
♠Q, ♣K, ♥A, ♥K, ♣6 | pair
♠Q, ♣K, ♥A, ♥K, ♥7 | pair
♠Q, ♣K, ♥A, ♠6, ♣6 | pair
♠Q, ♣K, ♥A, ♦7, ♥7 | pair
♠Q, ♣K, ♥K, ♠6, ♦7 | pair
♠Q, ♣K, ♥K, ♠6, ♥5 | pair
♠Q, ♣K, ♥K, ♠6, ♣6 | two pairs
♠Q, ♣K, ♥K, ♠6, ♥7 | pair
♠Q, ♣K, ♥K, ♦7, ♥5 | pair
♠Q, ♣K, ♥K, ♦7, ♣6 | pair
♠Q, ♣K, ♥K, ♦7, ♥7 | two pairs
♠Q, ♣K, ♥K, ♥5, ♣6 | pair
♠Q, ♣K, ♥K, ♥5, ♥7 | pair
♠Q, ♣K, ♥K, ♣6, ♥7 | pair
♠Q, ♣K, ♠6, ♦7, ♣6 | pair
♠Q, ♣K, ♠6, ♦7, ♥7 | pair
♠Q, ♣K, ♠6, ♥5, ♣6 | pair
♠Q, ♣K, ♠6, ♣6, ♥7 | pair
♠Q, ♣K, ♦7, ♥5, ♥7 | pair
♠Q, ♣K, ♦7, ♣6, ♥7 | pair
♠Q, ♣8, ♥A, ♠6, ♣6 | pair
♠Q, ♣8, ♥A, ♦7, ♥7 | pair
♠Q, ♣8, ♥K, ♠6, ♣6 | pair
♠Q, ♣8, ♥K, ♦7, ♥7 | pair
♠Q, ♣8, ♠6, ♦7, ♣6 | pair
♠Q, ♣8, ♠6, ♦7, ♥7 | pair
♠Q, ♣8, ♠6, ♥5, ♣6 | pair
♠Q, ♣8, ♠6, ♣6, ♥7 | pair
♠Q, ♣8, ♦7, ♥5, ♥7 | pair
♠Q, ♣8, ♦7, ♣6, ♥7 | pair
♠Q, ♥A, ♥K, ♠6, ♣6 | pair
♠Q, ♥A, ♥K, ♦7, ♥7 | pair
♠Q, ♥A, ♠6, ♦7, ♣6 | pair
♠Q, ♥A, ♠6, ♦7, ♥7 | pair
