♥7,♣7,♥3,♣8,♣5 | Pair
♥7,♣7,♥3,♣8,♥6 | Pair
♥7,♣7,♥3,♣8,♠J | Pair
♥7,♣7,♥3,♣8,♥K | Pair
♥7,♣7,♥3,♣8,♣10 | Pair
♥7,♣7,♥3,♣8,♦K | Pair
♥7,♣7,♥3,♣8,♦Q | Pair
♥7,♣7,♥3,♣8,♠K | Pair
♥7,♣7,♥3,♣8,♣J | Pair
♥7,♣7,♥3,♣5,♥6 | Pair
♥7,♣7,♥3,♣5,♠J | Pair
♥7,♣7,♥3,♣5,♥K | Pair
♥7,♣7,♥3,♣5,♣10 | Pair
♥7,♣7,♥3,♣5,♦K | Pair
♥7,♣7,♥3,♣5,♦Q | Pair
♥7,♣7,♥3,♣5,♠K | Pair
♥7,♣7,♥3,♣5,♣J | Pair
♥7,♣7,♥3,♥6,♠J | Pair
♥7,♣7,♥3,♥6,♥K | Pair
♥7,♣7,♥3,♥6,♣10 | Pair
♥7,♣7,♥3,♥6,♦K | Pair
♥7,♣7,♥3,♥6,♦Q | Pair
♥7,♣7,♥3,♥6,♠K | Pair
♥7,♣7,♥3,♥6,♣J | Pair
♥7,♣7,♥3,♠J,♥K | Pair
♥7,♣7,♥3,♠J,♣10 | Pair
♥7,♣7,♥3,♠J,♦K | Pair
♥7,♣7,♥3,♠J,♦Q | Pair
♥7,♣7,♥3,♠J,♠K | Pair
♥7,♣7,♥3,♠J,♣J | Two Pairs
♥7,♣7,♥3,♥K,♣10 | Pair
♥7,♣7,♥3,♥K,♦K | Two Pairs
♥7,♣7,♥3,♥K,♦Q | Pair
♥7,♣7,♥3,♥K,♠K | Two Pairs
♥7,♣7,♥3,♥K,♣J | Pair
♥7,♣7,♥3,♣10,♦K | Pair
♥7,♣7,♥3,♣10,♦Q | Pair
♥7,♣7,♥3,♣10,♠K | Pair
♥7,♣7,♥3,♣10,♣J | Pair
♥7,♣7,♥3,♦K,♦Q | Pair
♥7,♣7,♥3,♦K,♠K | Two Pairs
♥7,♣7,♥3,♦K,♣J | Pair
♥7,♣7,♥3,♦Q,♠K | Pair
♥7,♣7,♥3,♦Q,♣J | Pair
♥7,♣7,♥3,♠K,♣J | Pair
♥7,♣7,♣8,♣5,♥6 | Pair
♥7,♣7,♣8,♣5,♠J | Pair
♥7,♣7,♣8,♣5,♥K | Pair
♥7,♣7,♣8,♣5,♣10 | Pair
♥7,♣7,♣8,♣5,♦K | Pair
♥7,♣7,♣8,♣5,♦Q | Pair
♥7,♣7,♣8,♣5,♠K | Pair
♥7,♣7,♣8,♣5,♣J | Pair
♥7,♣7,♣8,♥6,♠J | Pair
♥7,♣7,♣8,♥6,♥K | Pair
♥7,♣7,♣8,♥6,♣10 | Pair
♥7,♣7,♣8,♥6,♦K | Pair
♥7,♣7,♣8,♥6,♦Q | Pair
♥7,♣7,♣8,♥6,♠K | Pair
♥7,♣7,♣8,♥6,♣J | Pair
♥7,♣7,♣8,♠J,♥K | Pair
♥7,♣7,♣8,♠J,♣10 | Pair
♥7,♣7,♣8,♠J,♦K | Pair
♥7,♣7,♣8,♠J,♦Q | Pair
♥7,♣7,♣8,♠J,♠K | Pair
