♣J,♣3,♦A,♣4,♦3 | Pair
♣J,♣3,♦A,♠10,♦3 | Pair
♣J,♣3,♦A,♦6,♣6 | Pair
♣J,♣3,♦A,♦6,♦3 | Pair
♣J,♣3,♦A,♦Q,♣Q | Pair
♣J,♣3,♦A,♦Q,♦3 | Pair
♣J,♣3,♦A,♣8,♦3 | Pair
♣J,♣3,♦A,♣Q,♦3 | Pair
♣J,♣3,♦A,♣7,♦3 | Pair
♣J,♣3,♦A,♣6,♦3 | Pair
♣J,♣3,♦A,♠9,♦3 | Pair
♣J,♣3,♦A,♦K,♦3 | Pair
♣J,♣3,♣4,♠10,♦3 | Pair
♣J,♣3,♣4,♦6,♣6 | Pair
♣J,♣3,♣4,♦6,♦3 | Pair
♣J,♣3,♣4,♦Q,♣Q | Pair
♣J,♣3,♣4,♦Q,♦3 | Pair
♣J,♣3,♣4,♣8,♣Q | Flush
♣J,♣3,♣4,♣8,♣7 | Flush
♣J,♣3,♣4,♣8,♣6 | Flush
♣J,♣3,♣4,♣8,♦3 | Pair
♣J,♣3,♣4,♣Q,♣7 | Flush
♣J,♣3,♣4,♣Q,♣6 | Flush
♣J,♣3,♣4,♣Q,♦3 | Pair
♣J,♣3,♣4,♣7,♣6 | Flush
♣J,♣3,♣4,♣7,♦3 | Pair
♣J,♣3,♣4,♣6,♦3 | Pair
♣J,♣3,♣4,♠9,♦3 | Pair
♣J,♣3,♣4,♦K,♦3 | Pair
♣J,♣3,♠10,♦6,♣6 | Pair
♣J,♣3,♠10,♦6,♦3 | Pair
♣J,♣3,♠10,♦Q,♣Q | Pair
♣J,♣3,♠10,♦Q,♦3 | Pair
