♣7,♠4,♠10,♥3,♣4 | Pair
♣7,♠4,♠10,♥3,♥4 | Pair
♣7,♠4,♠10,♣K,♣4 | Pair
♣7,♠4,♠10,♣K,♥4 | Pair
♣7,♠4,♠10,♣9,♣4 | Pair
♣7,♠4,♠10,♣9,♥4 | Pair
♣7,♠4,♠10,♣4,♣6 | Pair
♣7,♠4,♠10,♣4,♥Q | Pair
♣7,♠4,♠10,♣4,♦A | Pair
♣7,♠4,♠10,♣4,♥4 | Pair
♣7,♠4,♠10,♣6,♥4 | Pair
♣7,♠4,♠10,♥Q,♥4 | Pair
♣7,♠4,♠10,♦A,♥4 | Pair
♣7,♠4,♥3,♣K,♣4 | Pair
♣7,♠4,♥3,♣K,♥4 | Pair
♣7,♠4,♥3,♣9,♣4 | Pair
♣7,♠4,♥3,♣9,♥4 | Pair
♣7,♠4,♥3,♣4,♣6 | Pair
♣7,♠4,♥3,♣4,♥Q | Pair
♣7,♠4,♥3,♣4,♦A | Pair
♣7,♠4,♥3,♣4,♥4 | Pair
♣7,♠4,♥3,♣6,♥4 | Pair
♣7,♠4,♥3,♥Q,♥4 | Pair
♣7,♠4,♥3,♦A,♥4 | Pair
♣7,♠4,♣K,♣9,♣4 | Pair
♣7,♠4,♣K,♣9,♥4 | Pair
♣7,♠4,♣K,♣4,♣6 | Pair
♣7,♠4,♣K,♣4,♥Q | Pair
♣7,♠4,♣K,♣4,♦A | Pair
♣7,♠4,♣K,♣4,♥4 | Pair
♣7,♠4,♣K,♣6,♥4 | Pair
♣7,♠4,♣K,♥Q,♥4 | Pair
♣7,♠4,♣K,♦A,♥4 | Pair
♣7,♠4,♣9,♣4,♣6 | Pair
♣7,♠4,♣9,♣4,♥Q | Pair
♣7,♠4,♣9,♣4,♦A | Pair
♣7,♠4,♣9,♣4,♥4 | Pair
♣7,♠4,♣9,♣6,♥4 | Pair
♣7,♠4,♣9,♥Q,♥4 | Pair
♣7,♠4,♣9,♦A,♥4 | Pair
♣7,♠4,♣4,♣6,♥Q | Pair
♣7,♠4,♣4,♣6,♦A | Pair
♣7,♠4,♣4,♣6,♥4 | Pair
♣7,♠4,♣4,♥Q,♦A | Pair
♣7,♠4,♣4,♥Q,♥4 | Pair
♣7,♠4,♣4,♦A,♥4 | Pair
♣7,♠4,♣6,♥Q,♥4 | Pair
♣7,♠4,♣6,♦A,♥4 | Pair
♣7,♠4,♥Q,♦A,♥4 | Pair
♣7,♠10,♥3,♣4,♥4 | Pair
♣7,♠10,♣K,♣4,♥4 | Pair
♣7,♠10,♣9,♣4,♥4 | Pair
♣7,♠10,♣4,♣6,♥4 | Pair
♣7,♠10,♣4,♥Q,♥4 | Pair
♣7,♠10,♣4,♦A,♥4 | Pair
♣7,♥3,♣K,♣4,♥4 | Pair
