♠K,♣7,♠9,♦8,♣8 | Pair
♠K,♣7,♠9,♦8,♥8 | Pair
♠K,♣7,♠9,♠J,♦J | Pair
♠K,♣7,♠9,♣8,♥8 | Pair
♠K,♣7,♦3,♦8,♣8 | Pair
♠K,♣7,♦3,♦8,♥8 | Pair
♠K,♣7,♦3,♠J,♦J | Pair
♠K,♣7,♦3,♣8,♥8 | Pair
♠K,♣7,♠10,♦8,♣8 | Pair
♠K,♣7,♠10,♦8,♥8 | Pair
♠K,♣7,♠10,♠J,♦J | Pair
♠K,♣7,♠10,♣8,♥8 | Pair
♠K,♣7,♣4,♦8,♣8 | Pair
♠K,♣7,♣4,♦8,♥8 | Pair
♠K,♣7,♣4,♠J,♦J | Pair
♠K,♣7,♣4,♣8,♥8 | Pair
♠K,♣7,♦8,♣5,♣8 | Pair
♠K,♣7,♦8,♣5,♥8 | Pair
♠K,♣7,♦8,♠J,♣8 | Pair
♠K,♣7,♦8,♠J,♥8 | Pair
♠K,♣7,♦8,♠J,♦J | Pair
♠K,♣7,♦8,♣8,♥8 | Pair
♠K,♣7,♦8,♣8,♣Q | Pair
♠K,♣7,♦8,♣8,♦J | Pair
♠K,♣7,♦8,♥8,♣Q | Pair
♠K,♣7,♦8,♥8,♦J | Pair
♠K,♣7,♣5,♠J,♦J | Pair
♠K,♣7,♣5,♣8,♥8 | Pair
♠K,♣7,♠J,♣8,♥8 | Pair
♠K,♣7,♠J,♣8,♦J | Pair
♠K,♣7,♠J,♥8,♦J | Pair
