♣10,♥A,♠7,♥J,♦7 | Pair
♣10,♥A,♠7,♥J,♣7 | Pair
♣10,♥A,♠7,♥J,♥10 | Pair
♣10,♥A,♠7,♣5,♦7 | Pair
♣10,♥A,♠7,♣5,♣7 | Pair
♣10,♥A,♠7,♣5,♥10 | Pair
♣10,♥A,♠7,♣9,♦7 | Pair
♣10,♥A,♠7,♣9,♣7 | Pair
♣10,♥A,♠7,♣9,♥10 | Pair
♣10,♥A,♠7,♣9,♦9 | Pair
♣10,♥A,♠7,♣9,♠9 | Pair
♣10,♥A,♠7,♦7,♦K | Pair
♣10,♥A,♠7,♦7,♣3 | Pair
♣10,♥A,♠7,♦7,♣7 | Pair
♣10,♥A,♠7,♦7,♥Q | Pair
♣10,♥A,♠7,♦7,♦3 | Pair
♣10,♥A,♠7,♦7,♥10 | Two Pairs
♣10,♥A,♠7,♦7,♦9 | Pair
♣10,♥A,♠7,♦7,♠9 | Pair
♣10,♥A,♠7,♦7,♠6 | Pair
♣10,♥A,♠7,♦K,♣7 | Pair
♣10,♥A,♠7,♦K,♥10 | Pair
♣10,♥A,♠7,♣3,♣7 | Pair
♣10,♥A,♠7,♣3,♦3 | Pair
♣10,♥A,♠7,♣3,♥10 | Pair
♣10,♥A,♠7,♣7,♥Q | Pair
♣10,♥A,♠7,♣7,♦3 | Pair
♣10,♥A,♠7,♣7,♥10 | Two Pairs
♣10,♥A,♠7,♣7,♦9 | Pair
♣10,♥A,♠7,♣7,♠9 | Pair
♣10,♥A,♠7,♣7,♠6 | Pair
♣10,♥A,♠7,♥Q,♥10 | Pair
♣10,♥A,♠7,♦3,♥10 | Pair
♣10,♥A,♠7,♥10,♦9 | Pair
♣10,♥A,♠7,♥10,♠9 | Pair
♣10,♥A,♠7,♥10,♠6 | Pair
♣10,♥A,♠7,♦9,♠9 | Pair
♣10,♥A,♥J,♣5,♥10 | Pair
♣10,♥A,♥J,♣9,♥10 | Pair
♣10,♥A,♥J,♣9,♦9 | Pair
♣10,♥A,♥J,♣9,♠9 | Pair
♣10,♥A,♥J,♦7,♣7 | Pair
♣10,♥A,♥J,♦7,♥10 | Pair
