♠7,♣A,♦8,♠J,♣7 | Pair
♠7,♣A,♦8,♥5,♣7 | Pair
♠7,♣A,♦8,♠Q,♣7 | Pair
♠7,♣A,♦8,♦10,♣7 | Pair
♠7,♣A,♦8,♦10,♠10 | Pair
♠7,♣A,♦8,♣7,♦K | Pair
♠7,♣A,♦8,♣7,♠10 | Pair
♠7,♣A,♦8,♣7,♠2 | Pair
♠7,♣A,♠J,♥5,♣7 | Pair
♠7,♣A,♠J,♠Q,♣7 | Pair
♠7,♣A,♠J,♦10,♣7 | Pair
♠7,♣A,♠J,♦10,♠10 | Pair
♠7,♣A,♠J,♣7,♦K | Pair
♠7,♣A,♠J,♣7,♠10 | Pair
♠7,♣A,♠J,♣7,♠2 | Pair
♠7,♣A,♥5,♠Q,♣7 | Pair
♠7,♣A,♥5,♦10,♣7 | Pair
♠7,♣A,♥5,♦10,♠10 | Pair
♠7,♣A,♥5,♣7,♦K | Pair
♠7,♣A,♥5,♣7,♠10 | Pair
♠7,♣A,♥5,♣7,♠2 | Pair
♠7,♣A,♠Q,♦10,♣7 | Pair
♠7,♣A,♠Q,♦10,♠10 | Pair
♠7,♣A,♠Q,♣7,♦K | Pair
♠7,♣A,♠Q,♣7,♠10 | Pair
♠7,♣A,♠Q,♣7,♠2 | Pair
♠7,♣A,♦10,♣7,♦K | Pair
♠7,♣A,♦10,♣7,♠10 | Two Pairs
♠7,♣A,♦10,♣7,♠2 | Pair
♠7,♣A,♦10,♦K,♠10 | Pair
♠7,♣A,♦10,♠10,♠2 | Pair
♠7,♣A,♣7,♦K,♠10 | Pair
♠7,♣A,♣7,♦K,♠2 | Pair
♠7,♣A,♣7,♠10,♠2 | Pair
♠7,♦8,♠J,♥5,♣7 | Pair
♠7,♦8,♠J,♠Q,♣7 | Pair
♠7,♦8,♠J,♦10,♣7 | Pair
♠7,♦8,♠J,♦10,♠10 | Pair
♠7,♦8,♠J,♣7,♦K | Pair
♠7,♦8,♠J,♣7,♠10 | Pair
♠7,♦8,♠J,♣7,♠2 | Pair
♠7,♦8,♥5,♠Q,♣7 | Pair
♠7,♦8,♥5,♦10,♣7 | Pair
♠7,♦8,♥5,♦10,♠10 | Pair
♠7,♦8,♥5,♣7,♦K | Pair
♠7,♦8,♥5,♣7,♠10 | Pair
♠7,♦8,♥5,♣7,♠2 | Pair
♠7,♦8,♠Q,♦10,♣7 | Pair
♠7,♦8,♠Q,♦10,♠10 | Pair
♠7,♦8,♠Q,♣7,♦K | Pair
♠7,♦8,♠Q,♣7,♠10 | Pair
♠7,♦8,♠Q,♣7,♠2 | Pair
♠7,♦8,♦10,♣7,♦K | Pair
♠7,♦8,♦10,♣7,♠10 | Two Pairs
