♦6,♥J,♣10,♠2,♥6 | Pair
♦6,♥J,♣10,♠2,♥10 | Pair
♦6,♥J,♣10,♠2,♦2 | Pair
♦6,♥J,♣10,♠8,♥6 | Pair
♦6,♥J,♣10,♠8,♥10 | Pair
♦6,♥J,♣10,♠8,♥8 | Pair
♦6,♥J,♣10,♥K,♥6 | Pair
♦6,♥J,♣10,♥K,♥10 | Pair
♦6,♥J,♣10,♦A,♥6 | Pair
♦6,♥J,♣10,♦A,♥10 | Pair
♦6,♥J,♣10,♥6,♥Q | Pair
♦6,♥J,♣10,♥6,♥7 | Pair
♦6,♥J,♣10,♥6,♥10 | Two Pairs
♦6,♥J,♣10,♥6,♦5 | Pair
♦6,♥J,♣10,♥6,♣7 | Pair
♦6,♥J,♣10,♥6,♦2 | Pair
♦6,♥J,♣10,♥6,♥8 | Pair
♦6,♥J,♣10,♥Q,♥10 | Pair
♦6,♥J,♣10,♥7,♥10 | Pair
♦6,♥J,♣10,♥7,♣7 | Pair
♦6,♥J,♣10,♥10,♦5 | Pair
♦6,♥J,♣10,♥10,♣7 | Pair
♦6,♥J,♣10,♥10,♦2 | Pair
♦6,♥J,♣10,♥10,♥8 | Pair
♦6,♥J,♠2,♠8,♥6 | Pair
♦6,♥J,♠2,♠8,♦2 | Pair
♦6,♥J,♠2,♠8,♥8 | Pair
♦6,♥J,♠2,♥K,♥6 | Pair
♦6,♥J,♠2,♥K,♦2 | Pair
♦6,♥J,♠2,♦A,♥6 | Pair
♦6,♥J,♠2,♦A,♦2 | Pair
♦6,♥J,♠2,♥6,♥Q | Pair
♦6,♥J,♠2,♥6,♥7 | Pair
♦6,♥J,♠2,♥6,♥10 | Pair
♦6,♥J,♠2,♥6,♦5 | Pair
♦6,♥J,♠2,♥6,♣7 | Pair
♦6,♥J,♠2,♥6,♦2 | Two Pairs
♦6,♥J,♠2,♥6,♥8 | Pair
♦6,♥J,♠2,♥Q,♦2 | Pair
♦6,♥J,♠2,♥7,♣7 | Pair
♦6,♥J,♠2,♥7,♦2 | Pair
♦6,♥J,♠2,♥10,♦2 | Pair
♦6,♥J,♠2,♦5,♦2 | Pair
♦6,♥J,♠2,♣7,♦2 | Pair
♦6,♥J,♠2,♦2,♥8 | Pair
♦6,♥J,♠8,♥K,♥6 | Pair
♦6,♥J,♠8,♥K,♥8 | Pair
♦6,♥J,♠8,♦A,♥6 | Pair
♦6,♥J,♠8,♦A,♥8 | Pair
♦6,♥J,♠8,♥6,♥Q | Pair
♦6,♥J,♠8,♥6,♥7 | Pair
♦6,♥J,♠8,♥6,♥10 | Pair
♦6,♥J,♠8,♥6,♦5 | Pair
♦6,♥J,♠8,♥6,♣7 | Pair
♦6,♥J,♠8,♥6,♦2 | Pair
♦6,♥J,♠8,♥6,♥8 | Two Pairs
♦6,♥J,♠8,♥Q,♥8 | Pair
