♠10, ♠7, ♠8, ♣8, ♥6 | pair
♠10, ♠7, ♠8, ♣8, ♥4 | pair
♠10, ♠7, ♠8, ♣8, ♦5 | pair
♠10, ♠7, ♠8, ♣8, ♦6 | pair
♠10, ♠7, ♠8, ♣8, ♣5 | pair
♠10, ♠7, ♠8, ♣8, ♦2 | pair
♠10, ♠7, ♠8, ♥6, ♦6 | pair
♠10, ♠7, ♠8, ♦5, ♣5 | pair
♠10, ♠7, ♣8, ♥6, ♦6 | pair
♠10, ♠7, ♣8, ♦5, ♣5 | pair
♠10, ♠7, ♥6, ♥4, ♦6 | pair
♠10, ♠7, ♥6, ♦5, ♦6 | pair
♠10, ♠7, ♥6, ♦5, ♣5 | pair
♠10, ♠7, ♥6, ♦6, ♣5 | pair
♠10, ♠7, ♥6, ♦6, ♦2 | pair
♠10, ♠7, ♥4, ♦5, ♣5 | pair
♠10, ♠7, ♦5, ♦6, ♣5 | pair
♠10, ♠7, ♦5, ♣5, ♦2 | pair
♠10, ♠8, ♣8, ♥6, ♥4 | pair
♠10, ♠8, ♣8, ♥6, ♦5 | pair
♠10, ♠8, ♣8, ♥6, ♦6 | two pairs
♠10, ♠8, ♣8, ♥6, ♣5 | pair
♠10, ♠8, ♣8, ♥6, ♦2 | pair
♠10, ♠8, ♣8, ♥4, ♦5 | pair
♠10, ♠8, ♣8, ♥4, ♦6 | pair
♠10, ♠8, ♣8, ♥4, ♣5 | pair
♠10, ♠8, ♣8, ♥4, ♦2 | pair
♠10, ♠8, ♣8, ♦5, ♦6 | pair
♠10, ♠8, ♣8, ♦5, ♣5 | two pairs
♠10, ♠8, ♣8, ♦5, ♦2 | pair
♠10, ♠8, ♣8, ♦6, ♣5 | pair
♠10, ♠8, ♣8, ♦6, ♦2 | pair
♠10, ♠8, ♣8, ♣5, ♦2 | pair
♠10, ♠8, ♥6, ♥4, ♦6 | pair
♠10, ♠8, ♥6, ♦5, ♦6 | pair
♠10, ♠8, ♥6, ♦5, ♣5 | pair
♠10, ♠8, ♥6, ♦6, ♣5 | pair
♠10, ♠8, ♥6, ♦6, ♦2 | pair
♠10, ♠8, ♥4, ♦5, ♣5 | pair
♠10, ♠8, ♦5, ♦6, ♣5 | pair
♠10, ♠8, ♦5, ♣5, ♦2 | pair
♠10, ♣8, ♥6, ♥4, ♦6 | pair
♠10, ♣8, ♥6, ♦5, ♦6 | pair
♠10, ♣8, ♥6, ♦5, ♣5 | pair
♠10, ♣8, ♥6, ♦6, ♣5 | pair
♠10, ♣8, ♥6, ♦6, ♦2 | pair
♠10, ♣8, ♥4, ♦5, ♣5 | pair
♠10, ♣8, ♦5, ♦6, ♣5 | pair
♠10, ♣8, ♦5, ♣5, ♦2 | pair
♠10, ♥6, ♥4, ♦5, ♦6 | pair
♠10, ♥6, ♥4, ♦5, ♣5 | pair
♠10, ♥6, ♥4, ♦6, ♣5 | pair
♠10, ♥6, ♥4, ♦6, ♦2 | pair
♠10, ♥6, ♦5, ♦6, ♣5 | two pairs
♠10, ♥6, ♦5, ♦6, ♦2 | pair
♠10, ♥6, ♦5, ♣5, ♦2 | pair
♠10, ♥6, ♦6, ♣5, ♦2 | pair
♠10, ♥4, ♦5, ♦6, ♣5 | pair
♠10, ♥4, ♦5, ♣5, ♦2 | pair
♠10, ♦5, ♦6, ♣5, ♦2 | pair
♠7, ♠8, ♣8, ♥6, ♥4 | pair
♠7, ♠8, ♣8, ♥6, ♦5 | pair
♠7, ♠8, ♣8, ♥6, ♦6 | two pairs
