♠A,♣2,♥8,♣Q,♥2 | Pair
♠A,♣2,♥8,♣Q,♠8 | Pair
♠A,♣2,♥8,♣Q,♠Q | Pair
♠A,♣2,♥8,♦K,♥2 | Pair
♠A,♣2,♥8,♦K,♥K | Pair
♠A,♣2,♥8,♦K,♠8 | Pair
♠A,♣2,♥8,♣5,♥2 | Pair
♠A,♣2,♥8,♣5,♠8 | Pair
♠A,♣2,♥8,♥6,♥2 | Pair
♠A,♣2,♥8,♥6,♠8 | Pair
♠A,♣2,♥8,♥10,♥2 | Pair
♠A,♣2,♥8,♥10,♠8 | Pair
♠A,♣2,♥8,♣4,♥2 | Pair
♠A,♣2,♥8,♣4,♠8 | Pair
♠A,♣2,♥8,♣4,♥4 | Pair
♠A,♣2,♥8,♣4,♠4 | Pair
♠A,♣2,♥8,♥2,♥K | Pair
♠A,♣2,♥8,♥2,♠8 | Two Pairs
♠A,♣2,♥8,♥2,♥4 | Pair
♠A,♣2,♥8,♥2,♠Q | Pair
♠A,♣2,♥8,♥2,♠4 | Pair
♠A,♣2,♥8,♥K,♠8 | Pair
♠A,♣2,♥8,♠8,♥4 | Pair
♠A,♣2,♥8,♠8,♠Q | Pair
♠A,♣2,♥8,♠8,♠4 | Pair
♠A,♣2,♥8,♥4,♠4 | Pair
♠A,♣2,♣Q,♦K,♥2 | Pair
♠A,♣2,♣Q,♦K,♥K | Pair
♠A,♣2,♣Q,♦K,♠Q | Pair
♠A,♣2,♣Q,♣5,♥2 | Pair
♠A,♣2,♣Q,♣5,♠Q | Pair
♠A,♣2,♣Q,♥6,♥2 | Pair
♠A,♣2,♣Q,♥6,♠Q | Pair
♠A,♣2,♣Q,♥10,♥2 | Pair
♠A,♣2,♣Q,♥10,♠Q | Pair
♠A,♣2,♣Q,♣4,♥2 | Pair
♠A,♣2,♣Q,♣4,♥4 | Pair
♠A,♣2,♣Q,♣4,♠Q | Pair
♠A,♣2,♣Q,♣4,♠4 | Pair
